Time	Per
10.4886	0.00095 
10.4748	0.00094 
10.4884	0.00095 
10.4755	0.00094 
10.4826	0.00094 
10.4735	0.00094 
10.4728	0.00094 
10.4733	0.00094 
10.4785	0.00094 
10.4750	0.00094 
10.4742	0.00094 
10.4732	0.00094 
10.4758	0.00094 
10.4728	0.00094 
10.4746	0.00094 
10.4753	0.00094 
10.4737	0.00094 
10.4764	0.00094 
10.4758	0.00094 
10.4749	0.00094 
10.4748	0.00094 
10.4748	0.00094 
10.4741	0.00094 
10.4751	0.00094 
10.4764	0.00094 
10.4749	0.00094 
10.4802	0.00094 
10.4775	0.00094 
10.4729	0.00094 
10.4735	0.00094 
10.4742	0.00094 
10.4732	0.00094 
10.4776	0.00094 
10.4749	0.00094 
10.4755	0.00094 
10.4729	0.00094 
10.4735	0.00094 
10.4742	0.00094 
10.4758	0.00094 
10.4726	0.00094 
10.4738	0.00094 
10.4720	0.00094 
10.4738	0.00094 
10.4750	0.00094 
10.4741	0.00094 
10.4745	0.00094 
10.4734	0.00094 
10.4746	0.00094 
10.4761	0.00094 
10.4788	0.00094 
10.4724	0.00094 
10.4728	0.00094 
10.4737	0.00094 
10.4747	0.00094 
10.4750	0.00094 
10.4772	0.00094 
10.4759	0.00094 
10.4763	0.00094 
10.4779	0.00094 
10.4756	0.00094 
10.4747	0.00094 
10.4814	0.00094 
10.4742	0.00094 
10.4753	0.00094 
10.4786	0.00094 
10.4749	0.00094 
10.4752	0.00094 
10.4778	0.00094 
10.4776	0.00094 
10.4750	0.00094 
10.4762	0.00094 
10.4743	0.00094 
10.4759	0.00094 
10.4813	0.00094 
10.4777	0.00094 
10.4758	0.00094 
10.4763	0.00094 
10.4764	0.00094 
10.4751	0.00094 
10.4775	0.00094 
10.4775	0.00094 
10.4759	0.00094 
10.4765	0.00094 
10.4754	0.00094 
10.4775	0.00094 
10.4806	0.00094 
10.4780	0.00094 
10.4801	0.00094 
10.4777	0.00094 
10.4791	0.00094 
10.4816	0.00094 
10.4781	0.00094 
10.4760	0.00094 
10.4754	0.00094 
10.4765	0.00094 
10.4759	0.00094 
10.4770	0.00094 
10.4788	0.00094 
10.4759	0.00094 
10.4739	0.00094 
